+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|start_time|finish_tim|          queue_name|exec_hostn|num_exec_p| num_slots|job_exit_s|    application_name|job_i|job_pend_t|job_run_ti|job_mem_us|job_swap_u|job_cpu_ti|
|    124001|    138001|              caletc|  chas1575|1.0000000*|         1|      DONE|              caletc|  453|         0|     14000|     49796|    562500|0.0000000*|
|    122001|    139001|            hs_short|  phas2980|2.0000000*|         2|      DONE|            hs_short|  449|         0|     17000|    124055|    598824|16.000000*|
|    138001|    139001|          cosim_long|  phas2257|4.0000000*|         4|      DONE|               cosim|  484|         0|      1000|         0|         0|1.0000000*|
|    138001|    140001|          cosim_long|  phas2256|4.0000000*|         4|      DONE|               cosim|  483|         0|      2000|     22750|    512568|1.0000000*|
|    100001|    141001|            hs_short|  phas2980|2.0000000*|         2|      DONE|            hs_short|  385|         0|     41000|     53173|    484380|4.0000000*|
|    136001|    142001|                 gtb|  chas1527|1.0000000*|         1|      DONE|                 gtb|  473|         0|      6000|     15425|     33848|0.0000000*|
|     14001|    142001|     star-rcxt_short|  phas1031|1.0000000*|         1|      DONE|     star-rcxt_short|   36|         0|    128000|    287343|   1271732|40.000000*|
|    118001|    143001|           fss_short|  chas1588|1.0000000*|         1|      DONE|           fss_short|  424|         0|     25000|    150855|    917004|13.000000*|
|     14001|    143001|     star-rcxt_short|  phas3307|1.0000000*|         1|      DONE|     star-rcxt_short|   35|         0|    129000|    140362|   1274716|38.000000*|
|    118001|    144001|               fspro|  chas1619|1.0000000*|         1|      DONE|               fspro|  414|         0|     26000|    290703|    788120|15.000000*|
|    118001|    144001|            hs_short|  phas2974|2.0000000*|         2|      DONE|            hs_short|  421|         0|     26000|     51712|    450856|16.000000*|
|     32001|    144001|           fss_short|  chas1609|1.0000000*|         1|      DONE|           fss_short|   88|         0|    112000|    186119|    687264|107.00000*|
|    103001|    147001|            hs_short|  phas2980|2.0000000*|         2|      DONE|            hs_short|  399|         0|     44000|     46603|    477672|4.0000000*|
|    121001|    147001|               fspro|  phas1824|1.0000000*|         1|      DONE|               fspro|  443|         0|     26000|    287197|    788120|17.000000*|
|    142001|    148001|           fss_short|  chas2672|1.0000000*|         1|      DONE|           fss_short|  496|         0|      6000|    110988|    615772|5.0000000*|
|    124001|    150001|               fspro|  chas2763|1.0000000*|         1|      DONE|               fspro|  451|         0|     26000|    143523|    644612|16.000000*|
|     17001|    150001|     star-rcxt_short|  dhas0319|1.0000000*|         1|      DONE|     star-rcxt_short|   61|         0|    133000|    157774|    908832|42.000000*|
|     16001|    152001|  verilog_regression|  chas3112|1.0000000*|         1|      DONE|  verilog_regression|   55|         0|    136000|    779240| 103804528|108.00000*|
|    136001|    153001|           fss_short|  chas1599|1.0000000*|         1|      DONE|           fss_short|  466|         0|     17000|    181272|    942212|11.000000*|
|    136001|    153001|            hs_short|  phas2980|2.0000000*|         2|      DONE|            hs_short|  464|         0|     17000|    124019|    598824|14.000000*|
|     66001|    153001|              hs_med|  chas2888|2.0000000*|         2|      DONE|              hs_med|  287|         0|     87000|    498741|    918768|84.000000*|
|    136001|    154001|           fss_short|  chas1591|1.0000000*|         1|      DONE|           fss_short|  467|         0|     18000|    172093|    937648|13.000000*|
|     70001|    154001|           fss_short|  chas1596|1.0000000*|         1|      DONE|           fss_short|  305|         0|     84000|    176624|    663572|80.000000*|
|    141001|    155001|          cosim_long|  phas2257|4.0000000*|         4|      DONE|               cosim|  493|         0|     14000|         0|         0|1.0000000*|
|    141001|    155001|          cosim_long|  phas2256|4.0000000*|         4|      DONE|               cosim|  492|         0|     14000|         0|         0|1.0000000*|
|     38001|    156001|     star-rcxt_short|  phas1232|1.0000000*|         1|      DONE|     star-rcxt_short|  134|         0|    118000|     71517|    912816|41.000000*|
|    100001|    159001|           fss_short|  chas1601|1.0000000*|         1|      DONE|           fss_short|  388|         0|     59000|    132203|    586508|19.000000*|
|     32001|    160001|     star-rcxt_short|  phas0697|1.0000000*|         1|      DONE|     star-rcxt_short|  106|         0|    128000|     71380|    911484|45.000000*|
|     32001|    161001|     star-rcxt_short|  phas3545|1.0000000*|         1|      DONE|     star-rcxt_short|  107|         0|    129000|    271719|   1214436|44.000000*|
|    153001|    161001|           perf_long|  phas3206|1.0000000*|         1|      DONE|                perf|  503|         0|      8000|         0|         0|0.0000000*|
|     84001|    162001|           star-rcxt|  phas1213|2.0000000*|         2|      DONE|           star-rcxt|  350|         0|     78000|   1427315|   2750632|34.000000*|
|    136001|    162001|               fspro|  chas2526|1.0000000*|         1|      DONE|               fspro|  462|         0|     26000|    136449|    635904|18.000000*|
|    153001|    162001|                 gtb|  chas1528|1.0000000*|         1|      DONE|                 gtb|  505|         0|      9000|     15939|     33856|0.0000000*|
|     66001|    162001|           fss_short|  chas1589|1.0000000*|         1|      DONE|           fss_short|  282|         0|     96000|    168511|    655324|91.0000000|
|     15001|    164001|            hs_short|  phas2974|2.0000000*|         2|      DONE|            hs_short|   47|         0|    149000|    376567|    754112|191.00000*|
|    153001|    164001|           fss_short|  chas1599|1.0000000*|         1|      DONE|           fss_short|  504|         0|     11000|    162939|    929740|10.000000*|
|    156001|    164001|       verilog_short|  phas2602|1.0000000*|         1|      DONE|       verilog_short|  509|         0|      8000|     15278|     34608|0.0000000*|
|    156001|    164001|              caldrc|  phas2225|1.0000000*|         1|      DONE|              caldrc|  519|         0|      8000|         0|         0|0.0000000*|
|    139001|    165001|               fspro|  chas2796|1.0000000*|         1|      DONE|               fspro|  487|         0|     26000|    270155|    767516|16.000000*|
|    157001|    165001|              caldrc|  phas2221|1.0000000*|         1|      DONE|              caldrc|  526|         0|      8000|         0|         0|0.0000000*|
|    157001|    166001|          cosim_long|  phas2256|4.0000000*|         4|      DONE|               cosim|  525|         0|      9000|     19282|    512564|1.0000000*|
|     84001|    167001|           fss_short|  chas1594|1.0000000*|         1|      DONE|           fss_short|  348|         0|     83000|    170124|    784960|80.000000*|
|    155001|    167001|       verilog_short|  phas2657|1.0000000*|         1|      DONE|       verilog_short|  508|         0|     12000|     27013|    282376|0.0000000*|
|    142001|    168001|               fspro|  chas2624|1.0000000*|         1|      DONE|               fspro|  495|         0|     26000|    266594|    767516|17.000000*|
|     32001|    169001|     star-rcxt_short|  phas3390|1.0000000*|         1|      DONE|     star-rcxt_short|  108|         0|    137000|    284891|   1267508|44.000000*|
|     53001|    170001|     star-rcxt_short|  dhas0296|1.0000000*|         1|      DONE|     star-rcxt_short|  205|         0|    117000|    273828|   1166400|38.000000*|
|     53001|    174001|     star-rcxt_short|  dhas0314|1.0000000*|         1|      DONE|     star-rcxt_short|  204|         0|    121000|    173476|   1001512|35.000000*|
|    138001|    177001|       spectre_short|  chas1632|2.0000000*|         2|      DONE|       spectre_short|  480|         0|     39000|     16586|     67028|4.0000000*|
|    168001|    179001|       verilog_short|  phas2657|1.0000000*|         1|      DONE|       verilog_short|  527|         0|     11000|     27306|    282020|0.0000000*|
|    170001|    179001|          cosim_long|  phas2257|4.0000000*|         4|      DONE|               cosim|  546|         0|      9000|         0|         0|1.0000000*|
|    118001|    180001|     verilog_compile|  phas2649|1.0000000*|         1|      DONE|     verilog_compile|  413|         0|     62000|    315226|    410340|33.000000*|
|     32001|    180001|            hs_short|  phas2958|2.0000000*|         2|      DONE|            hs_short|   99|         0|    148000|    109853|    527912|127.00000*|
|    170001|    180001|       fsspice_short|  chas2515|1.0000000*|         1|      DONE|       fsspice_short|  528|         0|     10000|     88194|    613348|1.0000000*|
|    170001|    180001|           fss_short|  chas1617|1.0000000*|         1|      DONE|           fss_short|  529|         0|     10000|    140105|    962268|3.0000000*|
|    170001|    180001|            hs_short|  phas2974|2.0000000*|         2|      DONE|            hs_short|  536|         0|     10000|    176436|    648428|3.0000000*|
|     15001|    181001|            hs_short|  phas2968|2.0000000*|         2|      DONE|            hs_short|   48|         0|    166000|    376908|    754116|204.00000*|
|    156001|    181001|               fspro|  chas2680|1.0000000*|         1|      DONE|               fspro|  523|         0|     25000|    257877|    755228|16.000000*|
|    171001|    181001|       fsspice_short|  chas2797|1.0000000*|         1|      DONE|       fsspice_short|  556|         0|     10000|     87901|    588252|1.0000000*|
|     67001|    181001|     star-rcxt_short|  phas3545|1.0000000*|         1|      DONE|     star-rcxt_short|  291|         0|    114000|     55169|    905512|29.000000*|
|    170001|    182001|            hs_short|  phas2974|2.0000000*|         2|      DONE|            hs_short|  537|         0|     12000|     56038|    487748|8.0000000*|
|    153001|    183001|              hs_med|  phas2959|2.0000000*|         2|      DONE|              hs_med|  502|         0|     30000|    111308|    538332|48.000000*|
|     39001|    183001|           sischarac|  phas3420|1.0000000*|         1|      DONE|                   -|  137|         0|    144000|    152033|   1067940|18.000000*|
|     49001|    184001|           sischarac|  phas3421|1.0000000*|         1|      DONE|                   -|  164|         0|    135000|    134382|   1060244|3.0000000*|
|    174001|    184001|           fss_short|  chas2677|1.0000000*|         1|      DONE|           fss_short|  584|         0|     10000|    141811|    963328|3.0000000*|
|     50001|    185001|           sischarac|  phas3421|1.0000000*|         1|      DONE|                   -|  167|         0|    135000|    134180|   1060240|3.0000000*|
